date,mediacount,username,month,year
2022-02-01,1670,laur_akins,2,2022
2022-01-01,1667,laur_akins,1,2022
2021-12-01,1665,laur_akins,12,2021
2021-11-01,1657,laur_akins,11,2021
2021-10-01,1647,laur_akins,10,2021
2021-09-01,1645,laur_akins,9,2021
2021-08-03,1642,laur_akins,8,2021
2021-07-01,1638,laur_akins,7,2021
2021-06-01,1637,laur_akins,6,2021
2021-05-01,1628,laur_akins,5,2021
2021-04-01,1620,laur_akins,4,2021
2021-03-01,1616,laur_akins,3,2021
2021-02-01,1608,laur_akins,2,2021
2021-01-01,1605,laur_akins,1,2021
2020-12-01,1602,laur_akins,12,2020
2020-11-01,1593,laur_akins,11,2020
2020-10-01,1585,laur_akins,10,2020
2020-09-01,1580,laur_akins,9,2020
2020-08-01,1571,laur_akins,8,2020
2020-07-01,1569,laur_akins,7,2020
2020-06-01,1566,laur_akins,6,2020
2020-05-01,1564,laur_akins,5,2020
2020-04-01,1561,laur_akins,4,2020
2020-03-01,1555,laur_akins,3,2020
2020-02-01,1551,laur_akins,2,2020
2020-01-01,1548,laur_akins,1,2020
2019-12-01,1540,laur_akins,12,2019
2019-11-01,1527,laur_akins,11,2019
2019-10-01,1518,laur_akins,10,2019
2019-09-01,1508,laur_akins,9,2019
2019-08-01,1501,laur_akins,8,2019
2019-07-01,1496,laur_akins,7,2019
2019-06-01,1496,laur_akins,6,2019
2019-05-02,1491,laur_akins,5,2019
2019-04-01,1486,laur_akins,4,2019
2019-03-01,1475,laur_akins,3,2019
2019-02-01,1468,laur_akins,2,2019
2019-01-01,1463,laur_akins,1,2019
2022-12-01,801,joelle_fletcher,12,2022
2022-11-01,795,joelle_fletcher,11,2022
2022-10-01,793,joelle_fletcher,10,2022
2022-09-01,790,joelle_fletcher,9,2022
2022-08-01,792,joelle_fletcher,8,2022
2022-07-01,788,joelle_fletcher,7,2022
2022-06-01,785,joelle_fletcher,6,2022
2022-05-01,775,joelle_fletcher,5,2022
2022-04-01,771,joelle_fletcher,4,2022
2022-03-01,760,joelle_fletcher,3,2022
2022-02-01,754,joelle_fletcher,2,2022
2022-01-01,752,joelle_fletcher,1,2022
2021-12-01,748,joelle_fletcher,12,2021
2021-11-01,736,joelle_fletcher,11,2021
2021-10-01,732,joelle_fletcher,10,2021
2021-09-01,730,joelle_fletcher,9,2021
