FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
instagram,1,https://instagram.com/iceman_nick,625336,945
instagram,1,https://instagram.com/coreyseager5,540253,155
instagram,1,https://instagram.com/saycheesedigital,662752,115
instagram,1,https://instagram.com/reneerapp,653370,204
instagram,1,https://instagram.com/rob_kazi,642683,2590
instagram,1,https://instagram.com/tia_becca_,656661,556
instagram,1,https://instagram.com/chet_holmgren,654796,86
instagram,1,https://instagram.com/nikkisaintclaire,587319,311
instagram,1,https://instagram.com/tammiesangel,646262,28
instagram,1,https://instagram.com/alldaynicco,649845,762
instagram,1,https://instagram.com/imkaylab,622323,129
instagram,1,https://instagram.com/ana.stowell,647291,802
instagram,1,https://instagram.com/josiealesia,545953,577
instagram,1,https://instagram.com/realjaseduckman,637387,258
instagram,1,https://instagram.com/kayla_sessler,631447,550
instagram,1,https://instagram.com/lady._.bosss,634542,413
instagram,1,https://instagram.com/amari,567414,139
instagram,1,https://instagram.com/radioamy,632418,3137
instagram,1,https://instagram.com/davidmichaelwyatt,596232,369
instagram,1,https://instagram.com/jaboowins,631350,512
instagram,1,https://instagram.com/emmalovewell,629502,2091
instagram,1,https://instagram.com/bmotheprince,628876,838
instagram,1,https://instagram.com/yourrage,628490,71
instagram,1,https://instagram.com/monyettashaw,627675,5643
instagram,1,https://instagram.com/grew_up_in_the_70s_and_80s,627561,6324
instagram,1,https://instagram.com/omgheyrose,610540,607
instagram,1,https://instagram.com/yungmal__15,624652,20
instagram,1,https://instagram.com/tanklawrence,563055,666
instagram,1,https://instagram.com/nenaevans,623142,1115
instagram,1,https://instagram.com/maggiemcgaugh,559565,471
instagram,1,https://instagram.com/laurawoodsy,622469,466
instagram,1,https://instagram.com/justinherbert,618146,73
instagram,1,https://instagram.com/amandabatula,589789,1295
instagram,1,https://instagram.com/sarahjoyblog,615118,2199
instagram,1,https://instagram.com/jerryjhlee,612990,821
instagram,1,https://instagram.com/fitdadceo,612574,4070
instagram,1,https://instagram.com/coachkrystal_,609156,1296
instagram,1,https://instagram.com/ih8rxckstxr,607970,610
instagram,1,https://instagram.com/mfisher1212,580828,263
instagram,1,https://instagram.com/allthesmoke,604506,2094
instagram,1,https://instagram.com/imvontee,603447,550
instagram,1,https://instagram.com/ew.democrats,584284,9997
instagram,1,https://instagram.com/its_angebaby,601912,471
instagram,1,https://instagram.com/pga_johndaly,599807,264
instagram,1,https://instagram.com/garydwayne,597566,25
instagram,1,https://instagram.com/lovetiffney,597122,2302
instagram,1,https://instagram.com/dezmachado,595919,77
instagram,1,https://instagram.com/omelly,563206,1685
instagram,1,https://instagram.com/jaydddaa_,595256,38
instagram,1,https://instagram.com/dylanbarbour,542306,303
