FlagshipSocialNetwork,IN_NumOfAccounts,"Instagram URL","Instagram Followers",IG_Total_Posts
instagram,1,https://instagram.com/llil.yas,1189620,101
instagram,1,https://instagram.com/reesemoney300,1667415,26
instagram,1,https://instagram.com/dk14,1808509,221
instagram,1,https://instagram.com/iamtrinitytaylor,1009667,126
instagram,1,https://instagram.com/musickillskate,1240537,1807
instagram,1,https://instagram.com/est.gee,1162215,68
instagram,1,https://instagram.com/aggyabby,1047728,375
instagram,1,https://instagram.com/bluefasebabyy,1770351,31
instagram,1,https://instagram.com/ashtonhallofficial,1769934,691
instagram,1,https://instagram.com/alvinkamara,1083650,6
instagram,3,https://instagram.com/kendalledabrat,1249856,58
instagram,1,https://instagram.com/jadelizroper,1414487,2167
instagram,1,https://instagram.com/k1,1367035,151
instagram,1,https://instagram.com/demetriaobilor,1141247,1232
instagram,2,https://instagram.com/trippy,1483459,1383
instagram,1,https://instagram.com/sunisalee,1728491,158
instagram,1,https://instagram.com/taeadams,1288979,651
instagram,1,https://instagram.com/jalenhurts,1215701,94
instagram,1,https://instagram.com/last_king_2,1701098,164
instagram,1,https://instagram.com/mathieu_era,1689597,36
instagram,1,https://instagram.com/andrewdeast,1177013,1196
instagram,1,https://instagram.com/drbeckyatgoodinside,1680983,133
instagram,1,https://instagram.com/tjwatt90,1043775,286
instagram,1,https://instagram.com/deshaunwatson,1448578,409
instagram,1,https://instagram.com/krista.horton,1676357,2364
instagram,1,https://instagram.com/angelinamtv,1400968,6935
instagram,1,https://instagram.com/deandrehopkins,1641222,53
instagram,1,https://instagram.com/bakermayfield,1595459,439
instagram,1,https://instagram.com/beccatilley,1142490,2076
instagram,1,https://instagram.com/caelynnmillerkeyes,1366347,888
instagram,1,https://instagram.com/katelynbrown,1558613,481
instagram,1,https://instagram.com/cee2x___,1221100,107
instagram,1,https://instagram.com/brittanylynne,1206463,1827
instagram,1,https://instagram.com/mozzy,1533132,3105
instagram,2,https://instagram.com/nfltooonn,1337595,1
instagram,1,https://instagram.com/gkittle,1182428,1044
instagram,1,https://instagram.com/angelarosehome,1509663,544
instagram,1,https://instagram.com/theramblingredhead,1226684,1137
instagram,1,https://instagram.com/thesisterstudioig,1362803,2137
instagram,1,https://instagram.com/bkoof,1293030,976
instagram,1,https://instagram.com/jamesokeefeiii,1141660,2201
instagram,1,https://instagram.com/mrjaxtaylor,1132502,584
instagram,1,https://instagram.com/pilot_pete,1479089,299
instagram,1,https://instagram.com/dressupbuttercup,1308352,2480
instagram,1,https://instagram.com/laurabeverlin,1452567,4524
instagram,1,https://instagram.com/aarondonald99,1291697,523
instagram,1,https://instagram.com/ashleydufner,1419235,209
instagram,1,https://instagram.com/lauramgovan,1436140,3986
instagram,1,https://instagram.com/tiarachel91,1423684,894
instagram,1,https://instagram.com/theyasminelopez,1284624,70
instagram,1,https://instagram.com/_daniii45,1296178,84
instagram,1,https://instagram.com/amysedaris,1142736,8608
instagram,1,https://instagram.com/jimmypolo10,1409692,156
instagram,1,https://instagram.com/deanie_babies,1235815,753
instagram,1,https://instagram.com/pete.buttigieg,1401869,717
instagram,1,https://instagram.com/rdcworld1,1397285,1225
instagram,1,https://instagram.com/darylanndenner,1392276,3005
instagram,1,https://instagram.com/_yungblasiann,1115860,82
