Username;followers_old;size_old;found;is_private;followers_new;size_new;gender
papiluisito;293242;midtier;TRUE;FALSE;288729;midtier;m
parkerferris;309942;midtier;TRUE;FALSE;307675;midtier;m
jrdguz;259257;midtier;TRUE;FALSE;267142;midtier;m
awwitskeweezy;232720;midtier;TRUE;FALSE;234503;midtier;m
michelejaliene;312589;midtier;TRUE;FALSE;319551;midtier;f
marlenedizzle;291508;midtier;TRUE;FALSE;289748;midtier;f
claudwithnojob;265473;midtier;TRUE;FALSE;269233;midtier;f
mignon_fof;313788;midtier;TRUE;FALSE;320484;midtier;f
hellonecole;267398;midtier;TRUE;FALSE;272477;midtier;f
kollincarter;311497;midtier;TRUE;FALSE;314644;midtier;m
alcarraway;230797;midtier;TRUE;FALSE;230582;midtier;f
drewphillips09;532937;makro;TRUE;FALSE;533910;makro;m
davidmichaelwyatt;596232;makro;TRUE;FALSE;611137;makro;m
maliibumiitch;529731;makro;TRUE;FALSE;530480;makro;f
elleriemarie;526788;makro;TRUE;FALSE;519880;makro;f
pattiegonia;503163;makro;TRUE;FALSE;516895;makro;d
kk.myloveenazir;541075;makro;TRUE;FALSE;546617;makro;f
nessnitty;509869;makro;TRUE;FALSE;508967;makro;f
officialmightyniecy;510549;makro;TRUE;FALSE;519735;makro;f
josiealesia;545953;makro;TRUE;FALSE;551826;makro;f
karrie_locher;589815;makro;TRUE;FALSE;597943;makro;f
meekalina_;518729;makro;TRUE;FALSE;549499;makro;f
thehoodhealer;501771;makro;TRUE;FALSE;500746;makro;f
yhung.chanel_;575408;makro;TRUE;FALSE;572901;makro;m
ladarius_marshall17;562670;makro;TRUE;FALSE;558150;makro;m
diorr;551196;makro;TRUE;FALSE;541708;makro;m
joytaylortalks;588315;makro;TRUE;FALSE;595360;makro;f
itsbadkidtalan;531182;makro;TRUE;FALSE;547970;makro;m
chauncysmartt;512979;makro;TRUE;FALSE;510763;makro;m
the_mommy_talks;592085;makro;TRUE;FALSE;706894;makro;i
d1pop;504238;makro;TRUE;FALSE;503175;makro;m
jasminejade;628587;makro;TRUE;FALSE;625523;makro;f
_micahparsons11;694329;makro;TRUE;FALSE;711510;makro;m
iceman_nick;625336;makro;TRUE;FALSE;623818;makro;m
omgheyrose;610540;makro;TRUE;FALSE;614241;makro;d
saycheesedigital;662752;makro;TRUE;FALSE;666924;makro;i
its_angebaby;601912;makro;TRUE;FALSE;599075;makro;f
redturn2;663267;makro;TRUE;FALSE;663562;makro;m
tdlockett12;614689;makro;TRUE;FALSE;613427;makro;m
mrsmoniquesamuels;670850;makro;TRUE;FALSE;671509;makro;f
grew_up_in_the_70s_and_80s;627561;makro;TRUE;FALSE;748584;makro;i
bresheppard;682522;makro;TRUE;FALSE;679316;makro;f
brittneyyevettegriner;684727;makro;TRUE;FALSE;692825;makro;f
imkaylab;622323;makro;TRUE;FALSE;621600;makro;f
madissonhaus;664487;makro;TRUE;FALSE;665683;makro;f
ashaiaa;619650;makro;TRUE;FALSE;619197;makro;f
_famous4nothing;658890;makro;TRUE;FALSE;661298;makro;i
dynastyloveyou;603733;makro;TRUE;FALSE;601076;makro;f
yourrage;628490;makro;TRUE;FALSE;637870;makro;m
hannahberner;620406;makro;TRUE;FALSE;676443;makro;f
tia_becca_;656661;makro;TRUE;FALSE;656836;makro;f
zachertz;713299;makro;TRUE;FALSE;709546;makro;m
navarro_college_cheer;715629;makro;TRUE;FALSE;713005;makro;g
cclaire.bbear;718023;makro;TRUE;FALSE;714514;makro;f
paqjonathan;730535;makro;TRUE;FALSE;741869;makro;m
sydelcurrylee;709279;makro;TRUE;FALSE;707955;makro;f
balockaye.h;703080;makro;TRUE;FALSE;700287;makro;m
phenomenal;725520;makro;TRUE;FALSE;723216;makro;i
arrowsandbow;775747;makro;TRUE;FALSE;770700;makro;f
amandakloots;732594;makro;TRUE;FALSE;732772;makro;f
mikeevans;704699;makro;TRUE;FALSE;701855;makro;m
vanessagrimaldi30;708334;makro;TRUE;FALSE;705277;makro;f
lastname_baker;788691;makro;TRUE;FALSE;763665;makro;m
abreg_1;725715;makro;TRUE;FALSE;726703;makro;m
flash_garrett;731144;makro;TRUE;FALSE;734590;makro;m
heatherkmcmahan;742378;makro;TRUE;FALSE;743815;makro;f
pardonmytake;750584;makro;TRUE;FALSE;754549;makro;g
therealtracibraxton;784169;makro;TRUE;FALSE;784455;makro;f
naomie_olindo;733328;makro;TRUE;FALSE;730414;makro;f
joshbrueckner;764598;makro;TRUE;FALSE;767502;makro;m
regtoofunny;768720;makro;TRUE;FALSE;774524;makro;m
ariejr;833440;makro;TRUE;FALSE;831165;makro;m
realkkvsh;895946;makro;FALSE;NA;NA;NA;
derekcarrqb;857061;makro;TRUE;FALSE;869484;makro;m
azramian;858805;makro;TRUE;FALSE;865658;makro;f
marknormand;879222;makro;TRUE;FALSE;921380;makro;m
chanjones55;802863;makro;TRUE;FALSE;27;NA;
sharife.cooper;859121;makro;TRUE;FALSE;857196;makro;m
trevondiggs;849705;makro;TRUE;FALSE;858105;makro;m
amaricooper9;853455;makro;TRUE;FALSE;848011;makro;m
jayrellis;889581;makro;TRUE;FALSE;889577;makro;m
paige_desorbo;842357;makro;TRUE;FALSE;857526;makro;f
rileyburruss;839938;makro;TRUE;FALSE;839911;makro;f
jackiehillperry;842553;makro;TRUE;FALSE;880828;makro;f
thesherylleeralph;821236;makro;TRUE;FALSE;877757;makro;f
heymadinelson;897288;makro;TRUE;FALSE;905862;makro;f
paolo5;850266;makro;TRUE;FALSE;882735;makro;m
tylepley;853805;makro;TRUE;FALSE;877820;makro;m
prinmidp_;823575;makro;TRUE;FALSE;822008;makro;f
primal_gourmet;840048;makro;TRUE;FALSE;851664;makro;m
remingtonavenue;806889;makro;TRUE;FALSE;880179;makro;f
iamchrislane;913640;makro;TRUE;FALSE;913762;makro;m
babyfaceray;946393;makro;TRUE;FALSE;970107;makro;m
pardi;962472;makro;TRUE;FALSE;958571;makro;m
emmanuelacho;944181;makro;TRUE;FALSE;940126;makro;m
tiffany_hbic_pollard;953023;makro;TRUE;FALSE;955745;makro;f
rileyduckman;995152;makro;TRUE;FALSE;1003516;mega;m
jfigggs;903434;makro;TRUE;FALSE;906019;makro;f
taylor.selfridge;934850;makro;TRUE;FALSE;931030;makro;f
luvenchanting;926440;makro;TRUE;FALSE;948712;makro;f
watchingnewyork;921025;makro;TRUE;FALSE;938447;makro;m
thechosentvseries;995817;makro;TRUE;FALSE;1060013;mega;i
lashontae;954362;makro;TRUE;FALSE;954362;makro;f
julieertz;948623;makro;TRUE;FALSE;943727;makro;f
corierayvon;923985;makro;TRUE;FALSE;921531;makro;f
sharnaburgess;980021;makro;TRUE;FALSE;979008;makro;f
no.chill.gil;932459;makro;TRUE;FALSE;933403;makro;m
presidentmal;912348;makro;TRUE;FALSE;907017;makro;m
parkermccollum;905980;makro;TRUE;FALSE;931800;makro;m
malloryervin;908223;makro;TRUE;FALSE;908968;makro;f
realcj_;931139;makro;TRUE;FALSE;949222;makro;m
pnbrock;2900010;mega;TRUE;FALSE;2897680;mega;m
poohshiesty;3389925;mega;TRUE;FALSE;3434167;mega;m
clarencenyc;3312050;mega;TRUE;FALSE;3324918;mega;m
lightskinkeisha;2906638;mega;TRUE;FALSE;2910794;mega;f
leahmesser;3003404;mega;TRUE;FALSE;3014996;mega;f
ezekielelliott;2859535;mega;TRUE;FALSE;2855758;mega;m
keyglock;2890599;mega;TRUE;FALSE;2944482;mega;m
jaydayoungan;2864776;mega;TRUE;FALSE;2871737;mega;m
ash.kaashh;3198036;mega;TRUE;FALSE;3196442;mega;f
new_era8;3189218;mega;TRUE;FALSE;3193073;mega;m
shawnjohnson;3802681;mega;TRUE;FALSE;3866377;mega;f
janiameshell;3408583;mega;TRUE;FALSE;3472422;mega;f
brentfaiyaz;3402051;mega;TRUE;FALSE;3517855;mega;m
inagarten;3911523;mega;TRUE;FALSE;3957909;mega;f
jonathandavissofficial;3550705;mega;TRUE;FALSE;4273406;mega;m
yungeenace;3590811;mega;TRUE;FALSE;3626906;mega;m
zonniquejailee;3875711;mega;TRUE;FALSE;3888930;mega;f
quando_rondo;3883144;mega;TRUE;FALSE;3899629;mega;m
joeyb_9;3838657;mega;TRUE;FALSE;3865936;mega;m
ballerinafarm;3433773;mega;TRUE;FALSE;4049055;mega;f
domowilsonmusic;2727412;mega;TRUE;FALSE;2736139;mega;f
shannonsharpe84;2551993;mega;TRUE;FALSE;2579404;mega;m
lilbibby_;2290959;mega;TRUE;FALSE;2289989;mega;m
