date,followees,username,month,year
2021-11-01,3448,horo.scopesdaily,11,2021
2021-10-01,3450,horo.scopesdaily,10,2021
2021-09-01,3465,horo.scopesdaily,9,2021
2021-08-02,3474,horo.scopesdaily,8,2021
2021-07-01,3478,horo.scopesdaily,7,2021
2021-06-01,3492,horo.scopesdaily,6,2021
2021-05-01,3497,horo.scopesdaily,5,2021
2021-04-01,3504,horo.scopesdaily,4,2021
2021-03-01,3494,horo.scopesdaily,3,2021
2021-02-01,3512,horo.scopesdaily,2,2021
2021-01-01,3537,horo.scopesdaily,1,2021
2020-12-01,3550,horo.scopesdaily,12,2020
2020-11-01,3559,horo.scopesdaily,11,2020
2020-10-01,3567,horo.scopesdaily,10,2020
2020-09-01,3581,horo.scopesdaily,9,2020
2020-08-01,3595,horo.scopesdaily,8,2020
2020-07-01,3599,horo.scopesdaily,7,2020
2020-06-01,3620,horo.scopesdaily,6,2020
2020-05-02,3631,horo.scopesdaily,5,2020
2020-04-01,3648,horo.scopesdaily,4,2020
2020-03-01,3656,horo.scopesdaily,3,2020
2020-02-01,3660,horo.scopesdaily,2,2020
2020-01-01,3673,horo.scopesdaily,1,2020
2019-12-01,3690,horo.scopesdaily,12,2019
2019-11-01,3703,horo.scopesdaily,11,2019
2019-10-01,3709,horo.scopesdaily,10,2019
2019-09-01,3747,horo.scopesdaily,9,2019
2019-08-01,3752,horo.scopesdaily,8,2019
2019-07-01,3763,horo.scopesdaily,7,2019
2019-06-01,3770,horo.scopesdaily,6,2019
2019-05-01,3781,horo.scopesdaily,5,2019
2019-04-01,3801,horo.scopesdaily,4,2019
2019-03-02,3802,horo.scopesdaily,3,2019
2019-02-09,3812,horo.scopesdaily,2,2019
2019-01-01,3807,horo.scopesdaily,1,2019
2022-12-01,220,laur_akins,12,2022
2022-11-01,219,laur_akins,11,2022
2022-10-01,219,laur_akins,10,2022
2022-09-01,220,laur_akins,9,2022
2022-08-01,220,laur_akins,8,2022
2022-07-01,220,laur_akins,7,2022
2022-06-01,221,laur_akins,6,2022
2022-05-01,221,laur_akins,5,2022
2022-04-01,221,laur_akins,4,2022
2022-03-01,222,laur_akins,3,2022
2022-02-01,222,laur_akins,2,2022
2022-01-01,222,laur_akins,1,2022
2021-12-01,222,laur_akins,12,2021
2021-11-01,218,laur_akins,11,2021
2021-10-01,217,laur_akins,10,2021
2021-09-01,217,laur_akins,9,2021
2021-08-03,218,laur_akins,8,2021
2021-07-01,219,laur_akins,7,2021
2021-06-01,219,laur_akins,6,2021
2021-05-01,212,laur_akins,5,2021
2021-04-01,213,laur_akins,4,2021
2021-03-01,211,laur_akins,3,2021
2021-02-01,210,laur_akins,2,2021
2021-01-01,210,laur_akins,1,2021
2020-12-01,209,laur_akins,12,2020
2020-11-01,204,laur_akins,11,2020
2020-10-01,204,laur_akins,10,2020
2020-09-01,199,laur_akins,9,2020
2020-08-01,202,laur_akins,8,2020
2020-07-01,202,laur_akins,7,2020
2020-06-01,203,laur_akins,6,2020
2020-05-01,203,laur_akins,5,2020
2020-04-01,203,laur_akins,4,2020
2020-03-01,202,laur_akins,3,2020
2020-02-01,202,laur_akins,2,2020
2020-01-01,201,laur_akins,1,2020
2019-12-01,201,laur_akins,12,2019
2019-11-01,201,laur_akins,11,2019
2019-10-01,199,laur_akins,10,2019
2019-09-01,197,laur_akins,9,2019
2019-08-01,197,laur_akins,8,2019
2019-07-01,197,laur_akins,7,2019
2019-06-01,200,laur_akins,6,2019
2019-05-02,200,laur_akins,5,2019
2019-04-01,201,laur_akins,4,2019
2019-03-01,201,laur_akins,3,2019
2019-02-01,198,laur_akins,2,2019
2019-01-01,197,laur_akins,1,2019
2022-12-01,1446,joelle_fletcher,12,2022
2022-11-01,1441,joelle_fletcher,11,2022
2022-10-01,1434,joelle_fletcher,10,2022
2022-09-01,1429,joelle_fletcher,9,2022
2022-08-01,1424,joelle_fletcher,8,2022
2022-07-01,1414,joelle_fletcher,7,2022
2022-06-01,1411,joelle_fletcher,6,2022
2022-05-01,1406,joelle_fletcher,5,2022
2022-04-01,1392,joelle_fletcher,4,2022
2022-03-01,1369,joelle_fletcher,3,2022
2022-02-01,1359,joelle_fletcher,2,2022
2022-01-01,1346,joelle_fletcher,1,2022
2021-12-01,1335,joelle_fletcher,12,2021
2021-11-01,1326,joelle_fletcher,11,2021
2021-10-01,1323,joelle_fletcher,10,2021
2021-09-01,1306,joelle_fletcher,9,2021
2021-08-01,1290,joelle_fletcher,8,2021
2021-07-01,1266,joelle_fletcher,7,2021
2021-06-01,1260,joelle_fletcher,6,2021
2021-05-01,1243,joelle_fletcher,5,2021
2021-04-01,1221,joelle_fletcher,4,2021
2021-03-01,1201,joelle_fletcher,3,2021
2021-02-01,1192,joelle_fletcher,2,2021
2021-01-01,1171,joelle_fletcher,1,2021
2020-12-01,1154,joelle_fletcher,12,2020
2020-11-01,1126,joelle_fletcher,11,2020
2020-10-01,1103,joelle_fletcher,10,2020
2020-09-01,1084,joelle_fletcher,9,2020
2020-08-01,1078,joelle_fletcher,8,2020
2020-07-01,1074,joelle_fletcher,7,2020
2020-06-01,1081,joelle_fletcher,6,2020
2020-05-01,1066,joelle_fletcher,5,2020
2020-04-01,1058,joelle_fletcher,4,2020
2020-03-01,1050,joelle_fletcher,3,2020
2020-02-01,1032,joelle_fletcher,2,2020
2020-01-01,1014,joelle_fletcher,1,2020
2019-12-01,1006,joelle_fletcher,12,2019
2019-11-01,991,joelle_fletcher,11,2019
2019-10-01,981,joelle_fletcher,10,2019
2019-09-01,958,joelle_fletcher,9,2019
2019-08-01,914,joelle_fletcher,8,2019
2019-07-12,906,joelle_fletcher,7,2019
2019-05-01,836,joelle_fletcher,5,2019
2019-04-26,834,joelle_fletcher,4,2019
2019-03-01,780,joelle_fletcher,3,2019
2019-02-01,749,joelle_fletcher,2,2019
2019-01-01,734,joelle_fletcher,1,2019
2022-12-01,708,theprettymess,12,2022
2022-11-01,699,theprettymess,11,2022
2022-10-01,693,theprettymess,10,2022
2022-09-01,687,theprettymess,9,2022
2022-08-01,679,theprettymess,8,2022
2022-07-01,672,theprettymess,7,2022
2022-06-01,664,theprettymess,6,2022
2022-05-01,658,theprettymess,5,2022
2022-04-01,644,theprettymess,4,2022
2022-03-01,621,theprettymess,3,2022
2022-02-01,607,theprettymess,2,2022
2022-01-01,596,theprettymess,1,2022
2021-12-01,580,theprettymess,12,2021
2021-11-01,556,theprettymess,11,2021
2021-10-01,552,theprettymess,10,2021
2021-09-01,546,theprettymess,9,2021
2021-08-03,547,theprettymess,8,2021
2021-07-01,545,theprettymess,7,2021
2021-06-01,558,theprettymess,6,2021
2021-05-01,559,theprettymess,5,2021
2021-04-01,555,theprettymess,4,2021
2021-03-01,548,theprettymess,3,2021
2021-02-02,541,theprettymess,2,2021
2021-01-01,528,theprettymess,1,2021
2020-12-01,520,theprettymess,12,2020
2020-11-01,513,theprettymess,11,2020
2020-10-01,510,theprettymess,10,2020
2020-09-01,506,theprettymess,9,2020
2020-08-01,505,theprettymess,8,2020
2020-07-01,504,theprettymess,7,2020
2020-06-01,508,theprettymess,6,2020
2020-05-01,509,theprettymess,5,2020
2020-04-01,532,theprettymess,4,2020
2020-03-01,522,theprettymess,3,2020
2020-02-01,512,theprettymess,2,2020
2020-01-01,507,theprettymess,1,2020
2019-12-01,505,theprettymess,12,2019
2019-11-01,499,theprettymess,11,2019
2019-10-01,501,theprettymess,10,2019
2019-09-01,491,theprettymess,9,2019
2019-08-20,498,theprettymess,8,2019
2019-04-01,499,theprettymess,4,2019
2019-03-01,482,theprettymess,3,2019
2019-02-01,473,theprettymess,2,2019
2019-01-01,462,theprettymess,1,2019
2022-12-01,455,ozthementalist,12,2022
2022-11-01,454,ozthementalist,11,2022
